date,contract,bid,ask
2025-09-01,Oct,21000,21100
2025-09-01,Nov,20500,20600
2025-09-01,Dec,20000,20100
2025-09-01,Jan,19500,19600
2025-09-02,Oct,21060,21160
2025-09-02,Nov,20550,20650
2025-09-02,Dec,20040,20140
2025-09-02,Jan,19530,19630
2025-09-03,Oct,21120,21220
2025-09-03,Nov,20600,20700
2025-09-03,Dec,20080,20180
2025-09-03,Jan,19560,19660
2025-09-04,Oct,21180,21280
2025-09-04,Nov,20650,20750
2025-09-04,Dec,20120,20220
2025-09-04,Jan,19590,19690
2025-09-05,Oct,21240,21340
2025-09-05,Nov,20700,20800
2025-09-05,Dec,20160,20260
2025-09-05,Jan,19620,19720
2025-09-06,Oct,21300,21400
2025-09-06,Nov,20750,20850
2025-09-06,Dec,20200,20300
2025-09-06,Jan,19650,19750
2025-09-07,Oct,21360,21460
2025-09-07,Nov,20800,20900
2025-09-07,Dec,20240,20340
2025-09-07,Jan,19680,19780
2025-09-08,Oct,21420,21520
2025-09-08,Nov,20850,20950
2025-09-08,Dec,20280,20380
2025-09-08,Jan,19710,19810
2025-09-09,Oct,21480,21580
2025-09-09,Nov,20900,21000
2025-09-09,Dec,20320,20420
2025-09-09,Jan,19740,19840
2025-09-10,Oct,21540,21640
2025-09-10,Nov,20950,21050
2025-09-10,Dec,20360,20460
2025-09-10,Jan,19770,19870
2025-09-11,Oct,21600,21700
2025-09-11,Nov,21000,21100
2025-09-11,Dec,20400,20500
2025-09-11,Jan,19800,19900
2025-09-12,Oct,21660,21760
2025-09-12,Nov,21050,21150
2025-09-12,Dec,20440,20540
2025-09-12,Jan,19830,19930
2025-09-13,Oct,21720,21820
2025-09-13,Nov,21100,21200
2025-09-13,Dec,20480,20580
2025-09-13,Jan,19860,19960
2025-09-14,Oct,21780,21880
2025-09-14,Nov,21150,21250
2025-09-14,Dec,20520,20620
2025-09-14,Jan,19890,19990
2025-09-15,Oct,21840,21940
2025-09-15,Nov,21200,21300
2025-09-15,Dec,20560,20660
2025-09-15,Jan,19920,20020
2025-09-16,Oct,21900,22000
2025-09-16,Nov,21250,21350
2025-09-16,Dec,20600,20700
2025-09-16,Jan,19950,20050
2025-09-17,Oct,21960,22060
2025-09-17,Nov,21300,21400
2025-09-17,Dec,20640,20740
2025-09-17,Jan,19980,20080
2025-09-18,Oct,22020,22120
2025-09-18,Nov,21350,21450
2025-09-18,Dec,20680,20780
2025-09-18,Jan,20010,20110
2025-09-19,Oct,22080,22180
2025-09-19,Nov,21400,21500
2025-09-19,Dec,20720,20820
2025-09-19,Jan,20040,20140
2025-09-20,Oct,22140,22240
2025-09-20,Nov,21450,21550
2025-09-20,Dec,20760,20860
2025-09-20,Jan,20070,20170
2025-09-21,Oct,22200,22300
2025-09-21,Nov,21500,21600
2025-09-21,Dec,20800,20900
2025-09-21,Jan,20100,20200
2025-09-22,Oct,22260,22360
2025-09-22,Nov,21550,21650
2025-09-22,Dec,20840,20940
2025-09-22,Jan,20130,20230
