date,contract,bid,ask
2025-09-01,Oct,13010,13110
2025-09-01,Nov,13010,13110
2025-09-01,Dec,13010,13110
2025-09-01,Jan,13010,13110
2025-09-02,Oct,13020,13120
2025-09-02,Nov,13020,13120
2025-09-02,Dec,13020,13120
2025-09-02,Jan,13020,13120
2025-09-03,Oct,13030,13130
2025-09-03,Nov,13030,13130
2025-09-03,Dec,13030,13130
2025-09-03,Jan,13030,13130
2025-09-04,Oct,13040,13140
2025-09-04,Nov,13040,13140
2025-09-04,Dec,13040,13140
2025-09-04,Jan,13040,13140
2025-09-05,Oct,13050,13150
2025-09-05,Nov,13050,13150
2025-09-05,Dec,13050,13150
2025-09-05,Jan,13050,13150
2025-09-06,Oct,13060,13160
2025-09-06,Nov,13060,13160
2025-09-06,Dec,13060,13160
2025-09-06,Jan,13060,13160
2025-09-07,Oct,13070,13170
2025-09-07,Nov,13070,13170
2025-09-07,Dec,13070,13170
2025-09-07,Jan,13070,13170
2025-09-08,Oct,13080,13180
2025-09-08,Nov,13080,13180
2025-09-08,Dec,13080,13180
2025-09-08,Jan,13080,13180
2025-09-09,Oct,13090,13190
2025-09-09,Nov,13090,13190
2025-09-09,Dec,13090,13190
2025-09-09,Jan,13090,13190
2025-09-10,Oct,13100,13200
2025-09-10,Nov,13100,13200
2025-09-10,Dec,13100,13200
2025-09-10,Jan,13100,13200
2025-09-11,Oct,13110,13210
2025-09-11,Nov,13110,13210
2025-09-11,Dec,13110,13210
2025-09-11,Jan,13110,13210
2025-09-12,Oct,13120,13220
2025-09-12,Nov,13120,13220
2025-09-12,Dec,13120,13220
2025-09-12,Jan,13120,13220
2025-09-13,Oct,13130,13230
2025-09-13,Nov,13130,13230
2025-09-13,Dec,13130,13230
2025-09-13,Jan,13130,13230
2025-09-14,Oct,13140,13240
2025-09-14,Nov,13140,13240
2025-09-14,Dec,13140,13240
2025-09-14,Jan,13140,13240
2025-09-15,Oct,13150,13250
2025-09-15,Nov,13150,13250
2025-09-15,Dec,13150,13250
2025-09-15,Jan,13150,13250
2025-09-16,Oct,13160,13260
2025-09-16,Nov,13160,13260
2025-09-16,Dec,13160,13260
2025-09-16,Jan,13160,13260
2025-09-17,Oct,13170,13270
2025-09-17,Nov,13170,13270
2025-09-17,Dec,13170,13270
2025-09-17,Jan,13170,13270
2025-09-18,Oct,13180,13280
2025-09-18,Nov,13180,13280
2025-09-18,Dec,13180,13280
2025-09-18,Jan,13180,13280
2025-09-19,Oct,13190,13290
2025-09-19,Nov,13190,13290
2025-09-19,Dec,13190,13290
2025-09-19,Jan,13190,13290
2025-09-20,Oct,13200,13300
2025-09-20,Nov,13200,13300
2025-09-20,Dec,13200,13300
2025-09-20,Jan,13200,13300
2025-09-21,Oct,13210,13310
2025-09-21,Nov,13210,13310
2025-09-21,Dec,13210,13310
2025-09-21,Jan,13210,13310
2025-09-22,Oct,13220,13320
2025-09-22,Nov,13220,13320
2025-09-22,Dec,13220,13320
2025-09-22,Jan,13220,13320
